business_id,stars,checkin_count,BusinessAcceptsCreditCards,BusinessParking,RestaurantsTakeOut,RestaurantsPriceRange2,OutdoorSeating,BikeParking,RestaurantsReservations,WiFi,HasTV,Alcohol,GoodForKids,text_count,avg_sentiment,American,Asian Fusion,Cafe,Chinese,Dessert,Fast Food,Indian,Italian,Japanese,Korean,Latin American,Mediterranean,Mexican,Thai,Vegetarian,Vietnamese,local_cuisine_preference_score,taste_sentiment,service_sentiment,ambience_sentiment
MTSW4McQd7CbVtyjqoe9mw,4,324,0,1,1,1,0,1,0,2,1,0,1,87,0.772889655,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.140120037,0.724924138,0.409137931,0.469229885
MUTTqe8uqyMdBl186RmNeA,4,172,1,1,1,2,1,1,1,2,0,1,0,250,0.85464,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.047044632,0.8025756,0.6453844,0.7747784
ROeacJQwBeh05Rqg7F6TCg,4.5,221,1,1,1,1,0,1,0,0,1,0,1,208,0.874125962,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.012758061,0.843519231,0.539160577,0.693478846
QdN72BWoyFypdGJhhI5r7g,4,81,1,1,1,2,0,1,0,2,1,1,0,69,0.853455072,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.125176471,0.748742029,0.576905797,0.75976087
Mjboz24M9NlBeiOJKLEd_Q,3,9,1,0,1,1,1,1,0,2,1,0,1,41,0.417082927,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.174254317,0.450573171,0.283007317,0.397087805
kV_Q1oqis8Qli8dUoGpTyQ,3.5,64,1,1,1,1,0,1,0,0,1,0,1,114,0.615352632,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.195691203,0.603097368,0.274909649,0.419445614
aPNXGTDkf-4bjhyMBQxqpQ,3.5,75,1,1,1,2,1,1,0,2,1,0,1,66,0.686351515,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.17849714,0.709007576,0.532516667,0.691092424
2xVsWBNFwZOxIOdd9Mwnww,2.5,14,1,1,1,2,1,1,0,2,1,1,1,20,0.48379,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358974359,0.426485,0.37788,0.471835
qfWJmJ0g96eM_fWma3ja0g,3,202,1,1,1,2,1,1,1,0,1,1,1,114,0.668692982,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.647335088,0.583595614,0.606041228
-4dYswJy7SPcbcERvitmIg,2.5,101,1,1,1,2,0,1,0,2,1,0,1,36,0.19815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135785257,0.127058333,0.066233333,0.084338889
